category,metric,status,score,value
freshness,modules_with_code_churn,critical,33.33,3
freshness,modules_with_doc_updates,critical,33.33,1
freshness,modules_without_doc_updates,critical,33.33,2
freshness,allowlisted_modules,critical,33.33,[]
coverage,modules_scanned,critical,13.35,83
coverage,modules_with_findings,critical,13.35,69
coverage,entities_scanned,critical,13.35,884
coverage,entities_missing_docs,critical,13.35,766
coverage,docstring_coverage_percent,critical,13.35,13.35
structure,total_documents,critical,18.05,132
structure,documents_missing_h1,critical,18.05,7
structure,documents_missing_h2,critical,18.05,3
structure,documents_with_cross_file_duplicates,critical,18.05,102
structure,documents_with_repeated_anchors,critical,18.05,0
structure,cross_file_duplicates,critical,18.05,72
structure,total_slugs,critical,18.05,707
structure,anchor_validation_issue_count,critical,18.05,4
structure,anchor_validation_status,critical,18.05,fail
integrity,docs_integrity_status,healthy,100.00,ok
integrity,mismatched_blocks,healthy,100.00,0
integrity,json_blocks_checked,healthy,100.00,2
integrity,documents_processed,healthy,100.00,1
integrity,missing_metrics_stubs,healthy,100.00,0
integrity,anchors_referenced,healthy,100.00,0
